SEASON_ID,GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,MATCHUP,WL,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FT_PCT,FG3_PCT,PLUS_MINUS,IS_HOME,LAST5_PTS,LAST5_REB,LAST5_AST,LAST5_STL,LAST5_BLK,LAST5_TOV,LAST5_FG_PCT,LAST5_FT_PCT,LAST5_FG3_PCT,LAST5_PLUS_MINUS
22017,0021700048,2017-10-23 00:00:00,1610612758,25,1473,0,115,37,19,13,2,9,0.434,0.69,0.409,-2,0,90.66666666666667,46.0,18.0,6.333333333333333,3.3333333333333335,15.666666666666666,0.4223333333333333,0.7280000000000001,0.38233333333333336,-5.666666666666667
22017,0021700043,2017-10-23 00:00:00,1610612763,14,822,1,98,38,16,5,2,12,0.426,0.919,0.316,8,0,107.0,42.5,19.5,8.5,6.0,13.0,0.446,0.6775,0.33999999999999997,11.0
22017,0021700041,2017-10-23 00:00:00,1610612755,22,1284,1,97,49,25,11,0,21,0.467,0.75,0.375,11,0,100.33333333333333,45.333333333333336,21.0,6.0,4.666666666666667,18.0,0.4106666666666667,0.6993333333333333,0.35833333333333334,-16.333333333333332
22017,0021700041,2017-10-23 00:00:00,1610612765,8,514,0,86,39,14,5,2,14,0.388,0.737,0.2,-11,1,108.0,41.0,21.333333333333332,10.333333333333334,2.0,13.666666666666666,0.4683333333333333,0.8666666666666667,0.36033333333333334,4.0
22017,0021700047,2017-10-23 00:00:00,1610612743,7,463,0,104,44,27,5,2,23,0.488,0.783,0.348,-5,1,96.0,48.0,23.0,5.5,2.5,18.5,0.4515,0.7585,0.40700000000000003,3.5
22017,0021700042,2017-10-23 00:00:00,1610612748,15,899,1,104,41,21,12,6,19,0.459,0.667,0.378,11,1,110.5,44.5,25.5,6.0,7.5,13.5,0.47650000000000003,0.6679999999999999,0.3395,-1.5
22017,0021700046,2017-10-23 00:00:00,1610612759,26,1563,1,101,55,19,4,12,20,0.444,0.696,0.25,4,1,97.0,51.0,23.5,8.0,7.0,11.0,0.435,0.76,0.232,9.0
22017,0021700042,2017-10-23 00:00:00,1610612737,0,14,0,93,41,14,9,1,21,0.474,0.778,0.412,-11,0,104.0,45.333333333333336,20.0,9.333333333333334,4.0,14.0,0.41,0.858,0.33066666666666666,-8.0
22017,0021700045,2017-10-23 00:00:00,1610612742,6,385,0,103,42,21,11,0,12,0.396,0.6,0.31,-30,1,96.66666666666667,39.333333333333336,21.666666666666668,6.333333333333333,3.6666666666666665,14.0,0.408,0.7776666666666667,0.37666666666666665,-9.0
22017,0021700044,2017-10-23 00:00:00,1610612749,16,960,1,103,42,24,8,4,13,0.471,0.875,0.346,9,1,106.0,36.666666666666664,21.333333333333332,8.0,4.666666666666667,14.666666666666666,0.496,0.7996666666666666,0.3453333333333333,-2.6666666666666665
